,skill,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,source,skills_multi,word_count,tags,primary_tag,ideal_answer_available,bert_score,tfidf_score
10,OOP,Medium,Describe the differences between GET and POST requests.,"GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body.","GET requests retrieve data and include parameters in the URL; POST requests send data to the server, encapsulating data in the request body.",Average,0.65,0.45,0.5,combined,OOP,23,"['oop-principles', 'design']",oop-principles,1,1.0000001192,1.0
11,System Design,Medium,What are AWS regions and availability zones?,An AWS region is a geographical area where AWS has multiple data centers such as Mumbai North Virginia and Singapore. Within each region there are multiple physically separate data centers called availability zones. Multiple availability zones exist within one region so if one data center fails another provides backup ensuring high availability. AWS has 34 geographic regions worldwide and 108 availability zones. Companies choose the region closest to their users for faster response times.,An AWS region is a geographical area where AWS has multiple data centers such as Mumbai North Virginia and Singapore. Within each region there are multiple physically separate data centers called availability zones. Multiple availability zones exist within one region so if one data center fails another provides backup ensuring high availability. AWS has 34 geographic regions worldwide and 108 availability zones. Companies choose the region closest to their users for faster response times.,Good,0.91,1.0,0.87,combined,System Design,74,"['architecture', 'scalability']",architecture,1,1.0,1.0
12,System Design,Medium,What are AWS regions and availability zones?,An AWS region is a geographical area where AWS has multiple data centers such as Mumbai North Virginia and Singapore. Within each region there are multiple physically separate data centers called availability zones. Multiple availability zones exist within one region so if one data center fails another provides backup ensuring high availability. AWS has 34 geographic regions worldwide and 108 availability zones. Companies choose the region closest to their users for faster response times.,An AWS region is a geographical area where AWS has multiple data centers such as Mumbai North Virginia and Singapore.,Average,0.63,0.38,0.46,combined,System Design,20,"['architecture', 'scalability']",architecture,1,0.9410613775000001,0.5311387471
13,CN,Hard,Design a secure mobile payment system for developing countries.,"Focus on security protocols, offline capabilities, user authentication, and low-resource optimizations.","Focus on security protocols, offline capabilities, user authentication, and low-resource optimizations.",Good,0.9,1.0,0.85,combined,CN,11,"['networking', 'protocols']",networking,1,1.0,1.0
14,OOP,Hard,Explain the SOLID principles in software engineering.,"SOLID stands for Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion principles, guiding towards more maintainable, understandable, and flexible software.","SOLID stands for Single Responsibility, Open-Closed, Liskov Substitution, Interface Segregation, and Dependency Inversion principles, guiding towards more maintainable, understandable, and flexible software.",Average,0.65,0.45,0.5,combined,OOP,22,"['oop-principles', 'design']",oop-principles,1,1.0000001192,1.0
15,System Design,Hard,Design a distributed key-value store.,"Focus on data partitioning, replication for fault tolerance, consistency models, and handling node failures.","Focus on data partitioning, replication for fault tolerance, consistency models, and handling node failures.",Average,0.65,0.45,0.5,combined,System Design,14,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
16,System Design,Hard,Design a cloud-based virtual desktop infrastructure.,"Address virtualization technologies, resource allocation, security, and remote access protocols.","Address virtualization technologies, resource allocation, security, and remote access protocols.",Good,0.9,1.0,0.85,combined,System Design,10,"['architecture', 'scalability']",architecture,1,1.0,1.0
17,System Design,Medium,What is an Ansible Playbook?,"An Ansible Playbook is a YAML file that defines a set of tasks and configurations to be executed on remote servers. It specifies which servers to target using hosts, what tasks to run like installing packages or copying files, and in what order. Playbooks enable automation of repetitive configuration tasks across multiple servers simultaneously without SSH-ing into each server manually. They are idempotent meaning running them multiple times produces the same result.",An Ansible Playbook is a YAML file that defines a set of tasks and configurations to be executed on remote servers.,Average,0.63,0.38,0.46,combined,System Design,21,"['architecture', 'scalability']",architecture,1,0.9468971491,0.4814749978
18,System Design,Medium,What is an Ansible Playbook?,"An Ansible Playbook is a YAML file that defines a set of tasks and configurations to be executed on remote servers. It specifies which servers to target using hosts, what tasks to run like installing packages or copying files, and in what order. Playbooks enable automation of repetitive configuration tasks across multiple servers simultaneously without SSH-ing into each server manually. They are idempotent meaning running them multiple times produces the same result.","An Ansible Playbook is a YAML file that defines a set of tasks and configurations to be executed on remote servers. It specifies which servers to target using hosts, what tasks to run like installing packages or copying files, and in what order. Playbooks enable automation of repetitive configuration tasks across multiple servers simultaneously without SSH-ing into each server manually. They are idempotent meaning running them multiple times produces the same result.",Good,0.91,1.0,0.87,combined,System Design,72,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
19,System Design,Medium,Describe the concept of microservices architecture.,"Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance.","Microservices architecture consists of small, independent services communicating via APIs, each responsible for specific functionality, promoting scalability and maintenance.",Average,0.65,0.45,0.5,combined,System Design,19,"['architecture', 'scalability']",architecture,1,1.0,1.0
20,System Design,Easy,Explain the concept of CAP theorem in distributed systems.,"The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times.","The CAP theorem states that in a distributed system, you cannot simultaneously guarantee Consistency, Availability, and Partition Tolerance at all times.",Good,0.9,1.0,0.85,combined,System Design,21,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
21,System Design,Medium,Explain asynchronous and non-blocking programming in Node.js.,Asynchronous programming allows code to start a task and move on to the next without waiting for the previous task to finish. Tasks happen in the background and notify when done without blocking other operations. Non-blocking programming ensures that no task waits or holds up the system. In Node.js asynchronous refers to the timing of tasks while non-blocking refers to the behavior of code ensuring no operation blocks the execution thread.,Asynchronous programming allows code to start a task and move on to the next without waiting for the previous task to finish. Tasks happen in the background and notify when done without blocking other operations. Non-blocking programming ensures that no task waits or holds up the system. In Node.js asynchronous refers to the timing of tasks while non-blocking refers to the behavior of code ensuring no operation blocks the execution thread.,Good,0.92,1.0,0.88,combined,System Design,71,"['architecture', 'scalability']",architecture,1,1.0,1.0
22,System Design,Medium,Explain asynchronous and non-blocking programming in Node.js.,Asynchronous programming allows code to start a task and move on to the next without waiting for the previous task to finish. Tasks happen in the background and notify when done without blocking other operations. Non-blocking programming ensures that no task waits or holds up the system. In Node.js asynchronous refers to the timing of tasks while non-blocking refers to the behavior of code ensuring no operation blocks the execution thread.,Asynchronous programming allows code to start a task and move on to the next without waiting for the previous task to finish.,Average,0.63,0.4,0.48,combined,System Design,22,"['architecture', 'scalability']",architecture,1,0.7344884872,0.4930027279
23,HR,Easy,What are your career goals?,Share your genuine career aspirations honestly and specifically. Mention the type of work you are excited about such as frontend or backend development or moving into a technical lead or management track. Explain how this role and company align with your goals. Showing that your career direction maps to the company's opportunities demonstrates that you are a good long term fit.,Share your genuine career aspirations honestly and specifically.,Average,0.62,0.38,0.45,combined,HR,8,"['behavioral', 'soft-skills']",behavioral,1,0.6904082298,0.35100716930000003
24,HR,Easy,What are your career goals?,Share your genuine career aspirations honestly and specifically. Mention the type of work you are excited about such as frontend or backend development or moving into a technical lead or management track. Explain how this role and company align with your goals. Showing that your career direction maps to the company's opportunities demonstrates that you are a good long term fit.,Share your genuine career aspirations honestly and specifically. Mention the type of work you are excited about such as frontend or backend development or moving into a technical lead or management track. Explain how this role and company align with your goals. Showing that your career direction maps to the company's opportunities demonstrates that you are a good long term fit.,Good,0.91,1.0,0.87,combined,HR,61,"['behavioral', 'soft-skills']",behavioral,1,1.0000001192,1.0
25,CN,Hard,Explain the principles of least privilege and defense in depth.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Least privilege limits access rights; defense in depth layers security.,Average,0.65,0.45,0.5,combined,CN,10,"['networking', 'protocols']",networking,1,0.9318352938000001,0.6689625305
26,CN,Hard,Explain the principles of least privilege and defense in depth.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Least privilege limits access rights; defense in depth layers security. Both minimize attack surfaces and provide redundancy.,Good,0.9,1.0,0.85,combined,CN,17,"['networking', 'protocols']",networking,1,1.0,1.0
27,CN,Medium,What is Amazon Route 53?,Route 53 is a DNS-based traffic routing service that translates human readable domain names into IP addresses. It distributes user requests across AWS regions based on rules like user location and latency. When users from India access a website Route 53 redirects them to the nearest Mumbai region server while users from USA go to the nearest US region. It also handles failover by redirecting traffic to healthy regions if one region goes down. Route 53 is a global service not region specific.,Route 53 is a DNS-based traffic routing service that translates human readable domain names into IP addresses.,Average,0.63,0.38,0.46,combined,CN,17,"['networking', 'protocols']",networking,1,0.8321701288000001,0.4682071783
28,CN,Medium,What is Amazon Route 53?,Route 53 is a DNS-based traffic routing service that translates human readable domain names into IP addresses. It distributes user requests across AWS regions based on rules like user location and latency. When users from India access a website Route 53 redirects them to the nearest Mumbai region server while users from USA go to the nearest US region. It also handles failover by redirecting traffic to healthy regions if one region goes down. Route 53 is a global service not region specific.,Route 53 is a DNS-based traffic routing service that translates human readable domain names into IP addresses. It distributes user requests across AWS regions based on rules like user location and latency. When users from India access a website Route 53 redirects them to the nearest Mumbai region server while users from USA go to the nearest US region. It also handles failover by redirecting traffic to healthy regions if one region goes down. Route 53 is a global service not region specific.,Good,0.91,1.0,0.87,combined,CN,83,"['networking', 'protocols']",networking,1,1.0000002384,1.0
29,System Design,Hard,Design and implement a large-scale distributed cache system.,"Consider consistency, data partitioning, eviction policies, and fault tolerance in distributed caching.","Consider consistency, data partitioning, eviction policies, and fault tolerance in distributed caching.",Average,0.65,0.45,0.5,combined,System Design,12,"['architecture', 'scalability']",architecture,1,1.0,1.0
30,CN,Medium,"What is OAuth, and how does it work?","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.","OAuth allows third-party app access to user data without exposing credentials, using access tokens for authorization.",Good,0.9,1.0,0.85,combined,CN,16,"['networking', 'protocols']",networking,1,1.0,1.0
31,System Design,Medium,What are the three cloud service models IaaS PaaS and SaaS?,Infrastructure as a Service provides virtualization servers storage and networking while the company manages runtime middleware OS application and data. Platform as a Service means the company only focuses on application and data while AWS manages everything else including runtime middleware OS and infrastructure. Software as a Service means everything including the application is managed by AWS and the company simply subscribes and uses the software. AWS examples include EC2 for IaaS Elastic Beanstalk for PaaS and Amazon WorkMail for SaaS.,Infrastructure as a Service provides virtualization servers storage and networking while the company manages runtime middleware OS application and data. Platform as a Service means the company only focuses on application and data while AWS manages everything else including runtime middleware OS and infrastructure. Software as a Service means everything including the application is managed by AWS and the company simply subscribes and uses the software. AWS examples include EC2 for IaaS Elastic Beanstalk for PaaS and Amazon WorkMail for SaaS.,Good,0.91,1.0,0.87,combined,System Design,81,"['architecture', 'scalability']",architecture,1,1.0,1.0
32,System Design,Medium,What are the three cloud service models IaaS PaaS and SaaS?,Infrastructure as a Service provides virtualization servers storage and networking while the company manages runtime middleware OS application and data. Platform as a Service means the company only focuses on application and data while AWS manages everything else including runtime middleware OS and infrastructure. Software as a Service means everything including the application is managed by AWS and the company simply subscribes and uses the software. AWS examples include EC2 for IaaS Elastic Beanstalk for PaaS and Amazon WorkMail for SaaS.,Infrastructure as a Service provides virtualization servers storage and networking while the company manages runtime middleware OS application and data.,Average,0.63,0.38,0.46,combined,System Design,20,"['architecture', 'scalability']",architecture,1,0.7497331500000001,0.6116001565
33,System Design,Hard,Design a scalable and reliable messaging system for a large corporation.,"Utilize message queues (like Kafka, RabbitMQ), ensure fault tolerance, and implement load balancing.","Utilize message queues (like Kafka, RabbitMQ), ensure fault tolerance, and implement load balancing.",Good,0.9,1.0,0.85,combined,System Design,13,"['architecture', 'scalability']",architecture,1,1.0,1.0
34,System Design,Medium,Describe the role of a reverse proxy in a web application.,"A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security.","A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security.",Average,0.65,0.45,0.5,combined,System Design,17,"['architecture', 'scalability']",architecture,1,1.0000001192,1.0
35,OOP,Medium,Why is a namespace used in web development?,"Namespaces are used to avoid naming conflicts between various parts of code or libraries. They ensure that variables, functions, or elements with similar names do not conflict or interfere with one another.","Namespaces are used to avoid naming conflicts between various parts of code or libraries. They ensure that variables, functions, or elements with similar names do not conflict or interfere with one another.",Good,0.92,1.0,0.88,combined,OOP,32,"['oop-principles', 'design']",oop-principles,1,1.0,1.0
36,OOP,Medium,Why is a namespace used in web development?,"Namespaces are used to avoid naming conflicts between various parts of code or libraries. They ensure that variables, functions, or elements with similar names do not conflict or interfere with one another.",Namespaces are used to avoid naming conflicts between various parts of code or libraries.,Average,0.63,0.4,0.48,combined,OOP,14,"['oop-principles', 'design']",oop-principles,1,0.9429397583,0.6023822244
37,OS,Medium,What is the difference between Deployment and StatefulSet in Kubernetes?,"Deployment is used for stateless applications where pods are interchangeable. Pods get random names and share a single volume. If a pod is deleted a new pod is created with a different name. StatefulSet is used for stateful applications like databases where each pod needs a stable unique identity. Pods get sequential names like mysql-0 mysql-1, each pod gets its own persistent volume, and when a pod restarts it comes back with the same name and volume preserving data.","Deployment is used for stateless applications where pods are interchangeable. Pods get random names and share a single volume. If a pod is deleted a new pod is created with a different name. StatefulSet is used for stateful applications like databases where each pod needs a stable unique identity. Pods get sequential names like mysql-0 mysql-1, each pod gets its own persistent volume, and when a pod restarts it comes back with the same name and volume preserving data.",Good,0.91,1.0,0.87,combined,OS,79,"['concurrency', 'memory-management']",concurrency,1,1.0000001192,1.0
38,OS,Medium,What is the difference between Deployment and StatefulSet in Kubernetes?,"Deployment is used for stateless applications where pods are interchangeable. Pods get random names and share a single volume. If a pod is deleted a new pod is created with a different name. StatefulSet is used for stateful applications like databases where each pod needs a stable unique identity. Pods get sequential names like mysql-0 mysql-1, each pod gets its own persistent volume, and when a pod restarts it comes back with the same name and volume preserving data.",Deployment is used for stateless applications where pods are interchangeable.,Average,0.63,0.38,0.46,combined,OS,10,"['concurrency', 'memory-management']",concurrency,1,0.7991530895000001,0.330755487
39,OOP,Hard,Describe the purpose of code reviews.,"Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing.","Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing.",Average,0.65,0.45,0.5,combined,OOP,12,"['oop-principles', 'design']",oop-principles,1,1.0,1.0
40,OS,Hard,What is Kubernetes and how does it relate to containerization?,"Kubernetes is an open-source platform for automating deployment, scaling, and operations of application containers across clusters of hosts.","Kubernetes is an open-source platform for automating deployment, scaling, and operations of application containers across clusters of hosts.",Average,0.65,0.45,0.5,combined,OS,18,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
41,System Design,Medium,How do you implement authentication and authorization in Express.js?,Authentication verifies the identity of a user typically through username and password. After successful authentication a JWT token is created with an expiry time and returned to the client. Authorization determines what actions an authenticated user can perform. An authenticate token middleware verifies the JWT token on protected routes. If the token is valid the user is allowed access otherwise a 403 forbidden status is returned.,Authentication verifies the identity of a user typically through username and password. After successful authentication a JWT token is created with an expiry time and returned to the client. Authorization determines what actions an authenticated user can perform. An authenticate token middleware verifies the JWT token on protected routes. If the token is valid the user is allowed access otherwise a 403 forbidden status is returned.,Good,0.92,1.0,0.88,combined,System Design,66,"['architecture', 'scalability']",architecture,1,0.9999999404000001,1.0
42,System Design,Medium,How do you implement authentication and authorization in Express.js?,Authentication verifies the identity of a user typically through username and password. After successful authentication a JWT token is created with an expiry time and returned to the client. Authorization determines what actions an authenticated user can perform. An authenticate token middleware verifies the JWT token on protected routes. If the token is valid the user is allowed access otherwise a 403 forbidden status is returned.,Authentication verifies the identity of a user typically through username and password.,Average,0.63,0.4,0.48,combined,System Design,12,"['architecture', 'scalability']",architecture,1,0.6898028851,0.4002243715
43,DBMS,Hard,What is normalization in database design?,"Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms.","Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms.",Average,0.65,0.45,0.5,combined,"DBMS,Python",15,"['sql', 'relational']",sql,1,1.0,1.0
44,OS,Medium,What is the difference between ADD and COPY in a Dockerfile?,COPY only copies files from the local filesystem into the container. ADD does everything COPY does but additionally supports copying files from remote URLs and automatically extracts compressed archives. Because ADD has more functionality people often prefer it over COPY for flexibility. Use COPY when copying local files and ADD when you need to copy from a URL or extract an archive.,COPY only copies files from the local filesystem into the container.,Average,0.63,0.38,0.46,combined,OS,11,"['concurrency', 'memory-management']",concurrency,1,0.6311461926,0.510307311
45,OS,Medium,What is the difference between ADD and COPY in a Dockerfile?,COPY only copies files from the local filesystem into the container. ADD does everything COPY does but additionally supports copying files from remote URLs and automatically extracts compressed archives. Because ADD has more functionality people often prefer it over COPY for flexibility. Use COPY when copying local files and ADD when you need to copy from a URL or extract an archive.,COPY only copies files from the local filesystem into the container. ADD does everything COPY does but additionally supports copying files from remote URLs and automatically extracts compressed archives. Because ADD has more functionality people often prefer it over COPY for flexibility. Use COPY when copying local files and ADD when you need to copy from a URL or extract an archive.,Good,0.91,1.0,0.87,combined,OS,62,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
46,Python,Easy,What is the difference between global and local variables in Python?,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program. Local variables are declared inside a function and their scope is limited to that function only. They cannot be accessed outside the function where they are defined.,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program.,Average,0.63,0.38,0.46,combined,Python,22,"['python-core', 'syntax']",python-core,1,0.9266337752,0.808586809
47,Python,Easy,What is the difference between global and local variables in Python?,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program. Local variables are declared inside a function and their scope is limited to that function only. They cannot be accessed outside the function where they are defined.,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program. Local variables are declared inside a function and their scope is limited to that function only. They cannot be accessed outside the function where they are defined.,Good,0.91,1.0,0.87,combined,Python,49,"['python-core', 'syntax']",python-core,1,1.0000001192,1.0
48,OS,Hard,Write a custom memory allocator for a C++ application.,"Discuss memory pool allocation, handling fragmentation, and optimizing for allocation/deallocation speed.","Discuss memory pool allocation, handling fragmentation, and optimizing for allocation/deallocation speed.",Average,0.65,0.45,0.5,combined,OS,11,"['concurrency', 'memory-management']",concurrency,1,1.0,1.0
49,OOP,Medium,Explain DOM document object model.,A programming interface of web documents is called Document Object Model or DOM. It represents HTML and XML documents as a tree like model with each node representing an element attribute or text segment of the document.,A programming interface of web documents is called Document Object Model or DOM.,Average,0.63,0.4,0.48,combined,OOP,13,"['oop-principles', 'design']",oop-principles,1,0.9650769830000001,0.6346116877
50,OOP,Medium,Explain DOM document object model.,A programming interface of web documents is called Document Object Model or DOM. It represents HTML and XML documents as a tree like model with each node representing an element attribute or text segment of the document.,A programming interface of web documents is called Document Object Model or DOM. It represents HTML and XML documents as a tree like model with each node representing an element attribute or text segment of the document.,Good,0.92,1.0,0.88,combined,OOP,37,"['oop-principles', 'design']",oop-principles,1,0.9999999404000001,1.0
51,System Design,Medium,What is Amazon CloudWatch?,Amazon CloudWatch is a monitoring service that collects analyzes and visualizes performance data logs and metrics from AWS applications and infrastructure. Metrics show performance numbers like CPU usage memory consumption and request count. Logs show what is happening inside applications including errors and events. CloudWatch Alarms send alerts when metrics exceed thresholds like high CPU usage. CloudWatch Dashboards provide visual monitoring screens. It enables proactive detection of issues before they impact users and helps troubleshoot problems by analyzing logs.,Amazon CloudWatch is a monitoring service that collects analyzes and visualizes performance data logs and metrics from AWS applications and infrastructure. Metrics show performance numbers like CPU usage memory consumption and request count. Logs show what is happening inside applications including errors and events. CloudWatch Alarms send alerts when metrics exceed thresholds like high CPU usage. CloudWatch Dashboards provide visual monitoring screens. It enables proactive detection of issues before they impact users and helps troubleshoot problems by analyzing logs.,Good,0.91,1.0,0.87,combined,System Design,79,"['architecture', 'scalability']",architecture,1,1.0,1.0
52,System Design,Medium,What is Amazon CloudWatch?,Amazon CloudWatch is a monitoring service that collects analyzes and visualizes performance data logs and metrics from AWS applications and infrastructure. Metrics show performance numbers like CPU usage memory consumption and request count. Logs show what is happening inside applications including errors and events. CloudWatch Alarms send alerts when metrics exceed thresholds like high CPU usage. CloudWatch Dashboards provide visual monitoring screens. It enables proactive detection of issues before they impact users and helps troubleshoot problems by analyzing logs.,Amazon CloudWatch is a monitoring service that collects analyzes and visualizes performance data logs and metrics from AWS applications and infrastructure.,Average,0.63,0.38,0.46,combined,System Design,21,"['architecture', 'scalability']",architecture,1,0.9582256675,0.539203081
53,System Design,Medium,What is Infrastructure as Code and why is it important?,"Infrastructure as Code is the practice of managing and provisioning infrastructure using machine readable configuration files instead of manual processes. Tools like Terraform and CloudFormation allow you to define servers networks and databases as code. IaC ensures consistency as the same configuration creates identical environments every time. It enables version control of infrastructure changes, faster provisioning through automation, reduced human errors, and easy disaster recovery by recreating infrastructure from code.",Infrastructure as Code is the practice of managing and provisioning infrastructure using machine readable configuration files instead of manual processes.,Average,0.63,0.38,0.46,combined,System Design,20,"['architecture', 'scalability']",architecture,1,0.7907732725000001,0.6021576847
54,System Design,Medium,What is Infrastructure as Code and why is it important?,"Infrastructure as Code is the practice of managing and provisioning infrastructure using machine readable configuration files instead of manual processes. Tools like Terraform and CloudFormation allow you to define servers networks and databases as code. IaC ensures consistency as the same configuration creates identical environments every time. It enables version control of infrastructure changes, faster provisioning through automation, reduced human errors, and easy disaster recovery by recreating infrastructure from code.","Infrastructure as Code is the practice of managing and provisioning infrastructure using machine readable configuration files instead of manual processes. Tools like Terraform and CloudFormation allow you to define servers networks and databases as code. IaC ensures consistency as the same configuration creates identical environments every time. It enables version control of infrastructure changes, faster provisioning through automation, reduced human errors, and easy disaster recovery by recreating infrastructure from code.",Good,0.91,1.0,0.87,combined,System Design,70,"['architecture', 'scalability']",architecture,1,0.9999999404000001,1.0
55,OOP,Easy,What are the advantages of using a microservices architecture?,"Advantages include easier scalability, flexibility in choosing technology, better fault isolation, and improved continuous deployment.","Advantages include easier scalability, flexibility in choosing technology, better fault isolation, and improved continuous deployment.",Good,0.9,1.0,0.85,combined,OOP,15,"['oop-principles', 'design']",oop-principles,1,1.0,1.0
56,Python,Medium,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.","OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",Average,0.65,0.45,0.5,combined,Python,13,"['python-core', 'syntax']",python-core,1,1.0,1.0
57,System Design,Medium,What are the different ways to access AWS services?,AWS Management Console is a web-based graphical interface where you click to create and manage services. AWS CLI or Command Line Interface is a command line tool that allows managing AWS services through commands and scripts enabling automation. AWS SDKs or Software Development Kits allow accessing AWS services programmatically using languages like Python Java Node.js and others. AWS CloudFormation and Terraform use Infrastructure as Code to create and manage resources through configuration files.,AWS Management Console is a web-based graphical interface where you click to create and manage services.,Average,0.63,0.38,0.46,combined,System Design,16,"['architecture', 'scalability']",architecture,1,0.8776574731000001,0.5388711003000001
