skill,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,source,skills_multi,word_count
OOP,Medium,What is the difference between cookies and local storage?,Cookies have limited storage of about 4KB per cookie and are sent with every HTTP request making them accessible from both server and client side. They have an expiration date and are primarily used for session management personalization and tracking user behavior. Local storage has a larger capacity of about 5MB per domain and is only accessible client side. It persists until explicitly deleted and is used for storing larger amounts of data for web applications.,Cookies have limited storage.,Poor,0.28,0.08,0.12,combined,OOP,4
System Design,Medium,What are the three cloud service models IaaS PaaS and SaaS?,Infrastructure as a Service provides virtualization servers storage and networking while the company manages runtime middleware OS application and data. Platform as a Service means the company only focuses on application and data while AWS manages everything else including runtime middleware OS and infrastructure. Software as a Service means everything including the application is managed by AWS and the company simply subscribes and uses the software. AWS examples include EC2 for IaaS Elastic Beanstalk for PaaS and Amazon WorkMail for SaaS.,Infrastructure as a Service provides virtualization servers storage and networking while the company manages runtime middleware OS application and data. Platform as a Service means the company only focuses on application and data while AWS manages everything else including runtime middleware OS and infrastructure. Software as a Service means everything including the application is managed by AWS and the company simply subscribes and uses the software. AWS examples include EC2 for IaaS Elastic Beanstalk for PaaS and Amazon WorkMail for SaaS.,Good,0.91,1.0,0.87,combined,System Design,81
System Design,Hard,Design a scalable and reliable messaging system for a large corporation.,"Utilize message queues (like Kafka, RabbitMQ), ensure fault tolerance, and implement load balancing.","Utilize message queues (like Kafka, RabbitMQ), ensure fault tolerance, and implement load balancing.",Good,0.9,1.0,0.85,combined,System Design,13
System Design,Medium,Describe the role of a reverse proxy in a web application.,"A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security.","A reverse proxy routes client requests to appropriate servers, providing load balancing, SSL termination, caching, and security.",Average,0.65,0.45,0.5,combined,System Design,17
OOP,Medium,Why is a namespace used in web development?,"Namespaces are used to avoid naming conflicts between various parts of code or libraries. They ensure that variables, functions, or elements with similar names do not conflict or interfere with one another.","Namespaces are used to avoid naming conflicts between various parts of code or libraries. They ensure that variables, functions, or elements with similar names do not conflict or interfere with one another.",Good,0.92,1.0,0.88,combined,OOP,32
OS,Medium,What is the difference between Deployment and StatefulSet in Kubernetes?,"Deployment is used for stateless applications where pods are interchangeable. Pods get random names and share a single volume. If a pod is deleted a new pod is created with a different name. StatefulSet is used for stateful applications like databases where each pod needs a stable unique identity. Pods get sequential names like mysql-0 mysql-1, each pod gets its own persistent volume, and when a pod restarts it comes back with the same name and volume preserving data.","Deployment is used for stateless applications where pods are interchangeable. Pods get random names and share a single volume. If a pod is deleted a new pod is created with a different name. StatefulSet is used for stateful applications like databases where each pod needs a stable unique identity. Pods get sequential names like mysql-0 mysql-1, each pod gets its own persistent volume, and when a pod restarts it comes back with the same name and volume preserving data.",Good,0.91,1.0,0.87,combined,OS,79
OOP,Hard,Describe the purpose of code reviews.,"Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing.","Code reviews identify defects, improve quality, enforce standards, and facilitate knowledge sharing.",Average,0.65,0.45,0.5,combined,OOP,12
OS,Hard,What is Kubernetes and how does it relate to containerization?,"Kubernetes is an open-source platform for automating deployment, scaling, and operations of application containers across clusters of hosts.","Kubernetes is an open-source platform for automating deployment, scaling, and operations of application containers across clusters of hosts.",Average,0.65,0.45,0.5,combined,OS,18
System Design,Medium,How do you implement authentication and authorization in Express.js?,Authentication verifies the identity of a user typically through username and password. After successful authentication a JWT token is created with an expiry time and returned to the client. Authorization determines what actions an authenticated user can perform. An authenticate token middleware verifies the JWT token on protected routes. If the token is valid the user is allowed access otherwise a 403 forbidden status is returned.,Authentication verifies the identity.,Poor,0.28,0.08,0.12,combined,System Design,4
OOP,Medium,What is the this keyword in JavaScript?,The this keyword in JavaScript refers to the current execution context or the object that is currently executing the code. Its value varies depending on how a function is called. In global context it refers to the global object. In function context it refers to the calling object. In event handlers it refers to the element that triggered the event. In constructor functions it refers to the newly created object.,The this keyword in JavaScript refers to the current execution context or the object that is currently executing the code.,Average,0.63,0.4,0.48,combined,OOP,20
DBMS,Hard,What is normalization in database design?,"Normalization organizes data into separate tables to reduce redundancy and improve integrity, following normalization forms.",Normalization organizes data into.,Poor,0.3,0.1,0.15,combined,"DBMS,Python",4
OS,Medium,What is the difference between ADD and COPY in a Dockerfile?,COPY only copies files from the local filesystem into the container. ADD does everything COPY does but additionally supports copying files from remote URLs and automatically extracts compressed archives. Because ADD has more functionality people often prefer it over COPY for flexibility. Use COPY when copying local files and ADD when you need to copy from a URL or extract an archive.,COPY only copies files from the local filesystem into the container.,Average,0.63,0.38,0.46,combined,OS,11
Python,Easy,What is the difference between global and local variables in Python?,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program. Local variables are declared inside a function and their scope is limited to that function only. They cannot be accessed outside the function where they are defined.,Global variables are declared outside any class or function and are accessible both inside and outside functions and classes throughout the program.,Average,0.63,0.38,0.46,combined,Python,22
OS,Medium,What is the difference between ADD and COPY in a Dockerfile?,COPY only copies files from the local filesystem into the container. ADD does everything COPY does but additionally supports copying files from remote URLs and automatically extracts compressed archives. Because ADD has more functionality people often prefer it over COPY for flexibility. Use COPY when copying local files and ADD when you need to copy from a URL or extract an archive.,COPY only copies files.,Poor,0.27,0.07,0.11,combined,OS,4
OS,Hard,Write a custom memory allocator for a C++ application.,"Discuss memory pool allocation, handling fragmentation, and optimizing for allocation/deallocation speed.","Discuss memory pool allocation, handling fragmentation, and optimizing for allocation/deallocation speed.",Average,0.65,0.45,0.5,combined,OS,11
OOP,Medium,Explain DOM document object model.,A programming interface of web documents is called Document Object Model or DOM. It represents HTML and XML documents as a tree like model with each node representing an element attribute or text segment of the document.,A programming interface of.,Poor,0.28,0.08,0.12,combined,OOP,4
System Design,Medium,What is Amazon CloudWatch?,Amazon CloudWatch is a monitoring service that collects analyzes and visualizes performance data logs and metrics from AWS applications and infrastructure. Metrics show performance numbers like CPU usage memory consumption and request count. Logs show what is happening inside applications including errors and events. CloudWatch Alarms send alerts when metrics exceed thresholds like high CPU usage. CloudWatch Dashboards provide visual monitoring screens. It enables proactive detection of issues before they impact users and helps troubleshoot problems by analyzing logs.,Amazon CloudWatch is a.,Poor,0.27,0.07,0.11,combined,System Design,4
OOP,Medium,What is continuous integration (CI) and continuous delivery (CD)?,CI involves frequent code integration and testing; CD extends CI by deploying changes to production automatically after testing.,CI involves frequent code integration and testing; CD extends CI by deploying changes to production automatically after testing.,Average,0.65,0.45,0.5,combined,OOP,18
OOP,Medium,What is hoisting in JavaScript?,Hoisting in JavaScript refers to the behavior where declared variables or functions are moved to the top of their scope during the compile phase. Variable hoisting only hoists declarations not initializations so accessing before initialization gives undefined. Function declarations are fully hoisted meaning you can call a function before it is defined. Variables declared with let and const are hoisted but not initialized and exist in a temporal dead zone until assigned.,Hoisting in JavaScript refers to the behavior where declared variables or functions are moved to the top of their scope during the compile phase. Variable hoisting only hoists declarations not initializations so accessing before initialization gives undefined. Function declarations are fully hoisted meaning you can call a function before it is defined. Variables declared with let and const are hoisted but not initialized and exist in a temporal dead zone until assigned.,Good,0.92,1.0,0.88,combined,OOP,72
System Design,Medium,What is Infrastructure as Code and why is it important?,"Infrastructure as Code is the practice of managing and provisioning infrastructure using machine readable configuration files instead of manual processes. Tools like Terraform and CloudFormation allow you to define servers networks and databases as code. IaC ensures consistency as the same configuration creates identical environments every time. It enables version control of infrastructure changes, faster provisioning through automation, reduced human errors, and easy disaster recovery by recreating infrastructure from code.",Infrastructure as Code is the practice of managing and provisioning infrastructure using machine readable configuration files instead of manual processes.,Average,0.63,0.38,0.46,combined,System Design,20
OOP,Medium,What are the components of a CSS Box model?,The CSS Box model comprises four components. Content is the actual content including text images or media. Padding is the space between the content and the border inside the element. Border surrounds the content and padding and can be styled with various widths colors and styles. Margin is the space outside the border that creates space between the element and its neighboring elements.,The CSS Box model comprises four components.,Average,0.63,0.4,0.48,combined,OOP,7
OOP,Medium,What is lazy loading in web development?,"Lazy loading is a design pattern that delays loading of non-critical resources at page load time, reducing initial load time and page weight.","Lazy loading is a design pattern that delays loading of non-critical resources at page load time, reducing initial load time and page weight.",Average,0.65,0.45,0.5,combined,OOP,23
OOP,Medium,What are the various data types present in JavaScript?,"JavaScript has primitive and non-primitive data types. Primitive types include number for integers and floats, bigint for very large numbers, string for text, boolean for true or false values, undefined for declared but uninitialized variables, null for intentional absence of value, and symbol for unique immutable values. Non-primitive types include object which stores collections of key value pairs.","JavaScript has primitive and non-primitive data types. Primitive types include number for integers and floats, bigint for very large numbers, string for text, boolean for true or false values, undefined for declared but uninitialized variables, null for intentional absence of value, and symbol for unique immutable values. Non-primitive types include object which stores collections of key value pairs.",Good,0.92,1.0,0.88,combined,OOP,58
OOP,Easy,What are the advantages of using a microservices architecture?,"Advantages include easier scalability, flexibility in choosing technology, better fault isolation, and improved continuous deployment.","Advantages include easier scalability, flexibility in choosing technology, better fault isolation, and improved continuous deployment.",Good,0.9,1.0,0.85,combined,OOP,15
Python,Medium,Describe the principles of Object-Oriented Programming (OOP).,"OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.","OOP principles include encapsulation, inheritance, polymorphism, and abstraction, promoting organized and maintainable code.",Average,0.65,0.45,0.5,combined,Python,13
OOP,Medium,What are the benefits of server-side rendering vs client-side rendering?,"Server-side rendering improves initial page load time and SEO, while client-side rendering is good for dynamic websites with less initial loading content.","Server-side rendering improves initial page load time and SEO, while client-side rendering is good for dynamic websites with less initial loading content.",Average,0.65,0.45,0.5,combined,OOP,22
OOP,Medium,What is callback hell and how can we fix it?,Callback hell is when multiple nested callback functions create code that is difficult to read and maintain resulting in a pyramid of doom structure. It can be fixed using promises which flatten nested callbacks into chained dot then statements with a single catch for error handling. Async and await converts asynchronous code to look synchronous making it more linear and readable. Modularizing code by breaking functions into separate reusable modules also reduces nesting.,Callback hell is when.,Poor,0.28,0.08,0.12,combined,OOP,4
System Design,Medium,What are the different ways to access AWS services?,AWS Management Console is a web-based graphical interface where you click to create and manage services. AWS CLI or Command Line Interface is a command line tool that allows managing AWS services through commands and scripts enabling automation. AWS SDKs or Software Development Kits allow accessing AWS services programmatically using languages like Python Java Node.js and others. AWS CloudFormation and Terraform use Infrastructure as Code to create and manage resources through configuration files.,AWS Management Console is a web-based graphical interface where you click to create and manage services.,Average,0.63,0.38,0.46,combined,System Design,16
Python,Medium,Describe the MVC architectural pattern.,"MVC divides an application into Model (data), View (UI), and Controller (input handling), promoting separation of concerns.",MVC divides an application.,Poor,0.3,0.1,0.15,combined,Python,4
System Design,Hard,What is a stateless vs. stateful service?,"Stateless services don't retain client data between requests; stateful services maintain client state, useful for sessions and transactions.","Stateless services don't retain client data between requests; stateful services maintain client state, useful for sessions and transactions.",Good,0.9,1.0,0.85,combined,System Design,18
System Design,Medium,"What is a load balancer, and why is it used in web applications?","A load balancer distributes incoming traffic across servers, ensuring resource efficiency, fault tolerance, and high availability.","A load balancer distributes incoming traffic across servers, ensuring resource efficiency, fault tolerance, and high availability.",Good,0.9,1.0,0.85,combined,"CN,System Design",16
System Design,Medium,What are the advantages of using a CDN?,CDN offers improved load times by serving content from servers closer to the user. It increases reliability through multiple backup servers if one fails. It reduces bandwidth cost by shortening data transfer distances. It provides scalability by acting as a load balancer distributing traffic across servers. It enhances security with DDoS protection and web firewalls. It improves SEO through faster load times and provides content caching for static assets.,CDN offers improved load times by serving content from servers closer to the user.,Average,0.63,0.4,0.48,combined,"CN,System Design",14
System Design,Medium,What is Amazon CloudWatch?,Amazon CloudWatch is a monitoring service that collects analyzes and visualizes performance data logs and metrics from AWS applications and infrastructure. Metrics show performance numbers like CPU usage memory consumption and request count. Logs show what is happening inside applications including errors and events. CloudWatch Alarms send alerts when metrics exceed thresholds like high CPU usage. CloudWatch Dashboards provide visual monitoring screens. It enables proactive detection of issues before they impact users and helps troubleshoot problems by analyzing logs.,Amazon CloudWatch is a monitoring service that collects analyzes and visualizes performance data logs and metrics from AWS applications and infrastructure. Metrics show performance numbers like CPU usage memory consumption and request count. Logs show what is happening inside applications including errors and events. CloudWatch Alarms send alerts when metrics exceed thresholds like high CPU usage. CloudWatch Dashboards provide visual monitoring screens. It enables proactive detection of issues before they impact users and helps troubleshoot problems by analyzing logs.,Good,0.91,1.0,0.87,combined,System Design,79
OS,Medium,What is the difference between git merge and git rebase?,Git merge combines changes from one branch into another creating a new merge commit and preserving both branch histories. Git rebase moves commits from one branch and replays them on top of another branch creating a linear history. With rebase you get a cleaner commit history that is easier to read. Merge is used when you want to preserve the full history while rebase is preferred when you want a clean linear history.,Git merge combines changes.,Poor,0.27,0.07,0.11,combined,OS,4
System Design,Medium,What is the difference between Ansible and Terraform?,Terraform is used for infrastructure provisioning creating cloud resources like VMs networks and databases using configuration files. Ansible is used for configuration management installing software and configuring servers that already exist. Terraform focuses on describing desired infrastructure state while Ansible defines how to configure servers. Terraform uses state files to track resources while Ansible uses Playbooks. They are often used together where Terraform creates infrastructure and Ansible configures it.,Terraform is used for.,Poor,0.27,0.07,0.11,combined,System Design,4
System Design,Medium,Explain the importance of caching in web applications.,"Caching stores frequently accessed data for faster retrieval, reducing backend load, improving performance, and enhancing user experience.","Caching stores frequently accessed data for faster retrieval, reducing backend load, improving performance, and enhancing user experience.",Average,0.65,0.45,0.5,combined,System Design,17
DBMS,Medium,How does MongoDB handle data consistency?,MongoDB handles consistency through several mechanisms. Write concerns determine the level of acknowledgement required after a write operation from just the primary node to a majority of nodes. Read concerns specify what consistency level is required for reads including local majority and available. Replica sets maintain copies of data across multiple nodes. Multi document transactions ensure either all operations succeed or none do.,MongoDB handles consistency through several mechanisms. Write concerns determine the level of acknowledgement required after a write operation from just the primary node to a majority of nodes. Read concerns specify what consistency level is required for reads including local majority and available. Replica sets maintain copies of data across multiple nodes. Multi document transactions ensure either all operations succeed or none do.,Good,0.92,1.0,0.88,combined,DBMS,63
Python,Hard,What is the SOLID principle?,"SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.","SOLID represents five design principles for OOP: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion.",Average,0.65,0.45,0.5,combined,Python,16
