skill,sub_domain,difficulty,question,ideal_answer,answer,label,cos_similarity,length_ratio,aligned_score,word_count,source
Python,python_core,Hard,How does Python's memory management work?,"CPython uses reference counting as the primary memory management strategy: every object tracks how many references point to it, and when the count drops to zero the memory is immediately freed. To handle reference cycles (A → B → A), CPython also runs a cyclic garbage collector. Memory is allocated from private heaps managed by CPython's allocator, with small objects pooled for efficiency. The gc module exposes the cyclic collector and lets you trigger or tune collection.",Python manages memory automatically. It counts references to objects and deletes them when no references remain. There is also a garbage collector for circular references. You don't usually need to worry about memory in Python.,Average,0.1869,0.4545,0.27,35,curated_v3
Python,python_core,Hard,How does Python's memory management work?,"CPython uses reference counting as the primary memory management strategy: every object tracks how many references point to it, and when the count drops to zero the memory is immediately freed. To handle reference cycles (A → B → A), CPython also runs a cyclic garbage collector. Memory is allocated from private heaps managed by CPython's allocator, with small objects pooled for efficiency. The gc module exposes the cyclic collector and lets you trigger or tune collection.",Python handles memory by itself. When you create a variable it gets memory and when you delete it Python cleans up. There is a garbage collector in the gc module.,Poor,0.1984,0.3896,0.26,30,curated_v3
Python,python_core,Medium,What are Python generators and when would you use them?,"Generators are functions that use yield to produce a sequence of values lazily, one at a time, instead of building the entire sequence in memory. When called, a generator function returns a generator iterator. Each call to next() resumes execution until the next yield. They are ideal for large or infinite sequences, streaming data, and pipelines. Compared to list comprehensions, generator expressions use less memory.",A generator uses yield instead of return to emit values one at a time. The function pauses at each yield and resumes when next() is called. This is memory-efficient for large datasets because only one item exists in memory at a time. Generator expressions look like list comprehensions but use parentheses: (x*2 for x in range(1000000)).,Good,0.4473,0.8615,0.57,56,curated_v3
Python,python_core,Medium,What are Python generators and when would you use them?,"Generators are functions that use yield to produce a sequence of values lazily, one at a time, instead of building the entire sequence in memory. When called, a generator function returns a generator iterator. Each call to next() resumes execution until the next yield. They are ideal for large or infinite sequences, streaming data, and pipelines. Compared to list comprehensions, generator expressions use less memory.",Generators use yield to produce values one at a time without storing them all. They are useful when working with large files or data streams because they are more memory efficient. You create one with a function containing yield.,Average,0.3083,0.6,0.4,39,curated_v3
Python,python_core,Medium,What are Python generators and when would you use them?,"Generators are functions that use yield to produce a sequence of values lazily, one at a time, instead of building the entire sequence in memory. When called, a generator function returns a generator iterator. Each call to next() resumes execution until the next yield. They are ideal for large or infinite sequences, streaming data, and pipelines. Compared to list comprehensions, generator expressions use less memory.",Generators are like lists but they produce items one at a time. You use yield inside a function to make a generator. They save memory.,Poor,0.3339,0.3846,0.35,25,curated_v3
Python,python_core,Easy,Explain *args and **kwargs in Python function definitions.,"*args allows a function to accept any number of positional arguments, collected into a tuple. **kwargs allows any number of keyword arguments, collected into a dictionary. Both are conventions — only the * and ** matter syntactically. They are useful for writing flexible APIs, decorators, and wrapper functions that pass arguments through to another function.","*args collects extra positional arguments as a tuple; **kwargs collects extra keyword arguments as a dict. You can combine them: def f(a, b, *args, **kwargs). They are commonly used in decorators to pass through all arguments and in functions designed to accept variable inputs.",Good,0.3267,0.8,0.47,44,curated_v3
Python,python_core,Easy,Explain *args and **kwargs in Python function definitions.,"*args allows a function to accept any number of positional arguments, collected into a tuple. **kwargs allows any number of keyword arguments, collected into a dictionary. Both are conventions — only the * and ** matter syntactically. They are useful for writing flexible APIs, decorators, and wrapper functions that pass arguments through to another function.",*args lets you pass multiple positional arguments to a function without knowing how many there will be. **kwargs does the same for keyword arguments. Both are common in Python APIs and decorators.,Average,0.3797,0.5818,0.44,32,curated_v3
Python,python_core,Easy,Explain *args and **kwargs in Python function definitions.,"*args allows a function to accept any number of positional arguments, collected into a tuple. **kwargs allows any number of keyword arguments, collected into a dictionary. Both are conventions — only the * and ** matter syntactically. They are useful for writing flexible APIs, decorators, and wrapper functions that pass arguments through to another function.",*args means you can pass any number of arguments and **kwargs means keyword arguments. They are used when you don't know how many arguments a function will get.,Poor,0.3944,0.5091,0.43,28,curated_v3
Python,python_core,Medium,What is the difference between shallow copy and deep copy?,"A shallow copy creates a new object but inserts references to the same child objects as the original. Modifying a mutable child object affects both copies. A deep copy recursively copies all nested objects, producing a fully independent clone. Use copy.copy() for shallow and copy.deepcopy() for deep copies. Shallow copies are faster and sufficient when nested objects are immutable or won't be mutated.","Shallow copy duplicates the top-level container but shares references to nested objects. Deep copy recursively duplicates everything so no object is shared. copy.copy() is shallow; copy.deepcopy() is deep. For a list of lists, shallow copy means modifying an inner list changes both copies; deep copy does not.",Good,0.5829,0.746,0.63,47,curated_v3
Python,python_core,Medium,What is the difference between shallow copy and deep copy?,"A shallow copy creates a new object but inserts references to the same child objects as the original. Modifying a mutable child object affects both copies. A deep copy recursively copies all nested objects, producing a fully independent clone. Use copy.copy() for shallow and copy.deepcopy() for deep copies. Shallow copies are faster and sufficient when nested objects are immutable or won't be mutated.",A shallow copy copies the outer object but the nested objects are still shared. A deep copy copies everything independently. Use copy.deepcopy() when you need a fully independent copy.,Average,0.6769,0.4603,0.61,29,curated_v3
Python,python_core,Medium,What is the difference between shallow copy and deep copy?,"A shallow copy creates a new object but inserts references to the same child objects as the original. Modifying a mutable child object affects both copies. A deep copy recursively copies all nested objects, producing a fully independent clone. Use copy.copy() for shallow and copy.deepcopy() for deep copies. Shallow copies are faster and sufficient when nested objects are immutable or won't be mutated.",Shallow copy makes a copy that still points to the same inner objects. Deep copy makes a completely new copy. deepcopy() is used for deep copies.,Poor,0.5056,0.4127,0.45,26,curated_v3
Python,python_core,Easy,How do Python's list comprehensions work and what are their advantages?,"A list comprehension provides a concise syntax to create a list by applying an expression to each item in an iterable, optionally filtered by a condition: [expr for item in iterable if condition]. They are generally faster than equivalent for loops because the iteration happens in C inside CPython. They are more readable for simple transformations and avoid the need for an intermediate append call.",List comprehensions let you build lists in one line: [x**2 for x in range(10) if x % 2 == 0]. They are faster than map/filter in many cases and more Pythonic than explicit loops with append. Nested comprehensions are possible but hurt readability beyond two levels.,Good,0.088,0.7077,0.35,46,curated_v3
Python,python_core,Easy,How do Python's list comprehensions work and what are their advantages?,"A list comprehension provides a concise syntax to create a list by applying an expression to each item in an iterable, optionally filtered by a condition: [expr for item in iterable if condition]. They are generally faster than equivalent for loops because the iteration happens in C inside CPython. They are more readable for simple transformations and avoid the need for an intermediate append call.",List comprehensions are a shorter way to create lists. Instead of a loop with append you write [expression for item in iterable]. You can add an if clause to filter items. They are faster and more readable than explicit loops.,Average,0.2635,0.6154,0.37,40,curated_v3
Python,python_core,Easy,How do Python's list comprehensions work and what are their advantages?,"A list comprehension provides a concise syntax to create a list by applying an expression to each item in an iterable, optionally filtered by a condition: [expr for item in iterable if condition]. They are generally faster than equivalent for loops because the iteration happens in C inside CPython. They are more readable for simple transformations and avoid the need for an intermediate append call.",List comprehensions let you write a list in one line. They are like a loop but shorter. For example [x*2 for x in list1].,Poor,0.0976,0.3692,0.18,24,curated_v3
Python,python_core,Easy,What is the difference between is and == in Python?,"== tests value equality — whether two objects have the same content. is tests identity — whether two variables point to the exact same object in memory. For example, two lists with equal contents will pass == but fail is. The is operator is appropriate for comparing to singletons like None, True, and False, which have guaranteed single instances in CPython.","== compares the values of two objects; is checks whether they are the same object. Two separate lists [1,2] == [1,2] is True but [1,2] is [1,2] is False. Always use is None rather than == None because None is a singleton.",Good,0.1622,0.6885,0.35,42,curated_v3
Python,python_core,Easy,What is the difference between is and == in Python?,"== tests value equality — whether two objects have the same content. is tests identity — whether two variables point to the exact same object in memory. For example, two lists with equal contents will pass == but fail is. The is operator is appropriate for comparing to singletons like None, True, and False, which have guaranteed single instances in CPython.",== checks if two values are equal. is checks if they are literally the same object in memory. You should use is when comparing to None.,Average,0.1251,0.4262,0.22,26,curated_v3
Python,python_core,Easy,What is the difference between is and == in Python?,"== tests value equality — whether two objects have the same content. is tests identity — whether two variables point to the exact same object in memory. For example, two lists with equal contents will pass == but fail is. The is operator is appropriate for comparing to singletons like None, True, and False, which have guaranteed single instances in CPython.",is checks if two things are the same object and == checks if they are equal. Use is None to check for None.,Poor,0.0653,0.377,0.16,23,curated_v3
Python,python_core,Medium,What are Python context managers and how do you implement one?,"A context manager defines setup and teardown logic executed around a block of code using the with statement. The __enter__ method runs on entry and __exit__ runs on exit, even if an exception occurs. You can also create context managers using the contextlib.contextmanager decorator with a generator. Common uses include file handling, database connections, and locks.",Context managers implement __enter__ and __exit__ so they work with with statements. __enter__ sets up the resource and returns it; __exit__ tears it down and can suppress exceptions. The contextlib.contextmanager decorator lets you write a generator-based context manager using yield instead of a class.,Good,0.2796,0.7857,0.43,44,curated_v3
Python,python_core,Medium,What are Python context managers and how do you implement one?,"A context manager defines setup and teardown logic executed around a block of code using the with statement. The __enter__ method runs on entry and __exit__ runs on exit, even if an exception occurs. You can also create context managers using the contextlib.contextmanager decorator with a generator. Common uses include file handling, database connections, and locks.",Context managers are used with the with statement to ensure resources are properly closed. A class implements __enter__ and __exit__. Files and database connections commonly use them.,Average,0.1808,0.4821,0.27,27,curated_v3
Python,python_core,Medium,What are Python context managers and how do you implement one?,"A context manager defines setup and teardown logic executed around a block of code using the with statement. The __enter__ method runs on entry and __exit__ runs on exit, even if an exception occurs. You can also create context managers using the contextlib.contextmanager decorator with a generator. Common uses include file handling, database connections, and locks.",Context managers let you use with to automatically clean up resources. For example with open('file') as f handles closing the file automatically.,Poor,0.1045,0.3929,0.19,22,curated_v3
Python,python_core,Hard,Explain Python's MRO (Method Resolution Order).,Python uses the C3 linearisation algorithm to determine the order in which base classes are searched when resolving a method. The MRO is computed at class creation and accessible via ClassName.__mro__ or ClassName.mro(). It guarantees that each class appears before its parents and that the order respects the order of inheritance declarations. This prevents inconsistencies in diamond inheritance scenarios.,"MRO defines the order Python searches classes when looking up a method in a class hierarchy. Python uses C3 linearisation, which ensures a class always comes before its parents and respects left-to-right declaration order. You can view it with Class.__mro__. It matters mainly with multiple inheritance and diamond patterns.",Good,0.4436,0.8305,0.56,49,curated_v3
Python,python_core,Hard,Explain Python's MRO (Method Resolution Order).,Python uses the C3 linearisation algorithm to determine the order in which base classes are searched when resolving a method. The MRO is computed at class creation and accessible via ClassName.__mro__ or ClassName.mro(). It guarantees that each class appears before its parents and that the order respects the order of inheritance declarations. This prevents inconsistencies in diamond inheritance scenarios.,MRO is the order Python uses to look up methods when a class inherits from multiple parents. It follows the C3 algorithm and you can check it with ClassName.__mro__.,Average,0.3823,0.4915,0.42,29,curated_v3
Python,python_core,Hard,Explain Python's MRO (Method Resolution Order).,Python uses the C3 linearisation algorithm to determine the order in which base classes are searched when resolving a method. The MRO is computed at class creation and accessible via ClassName.__mro__ or ClassName.mro(). It guarantees that each class appears before its parents and that the order respects the order of inheritance declarations. This prevents inconsistencies in diamond inheritance scenarios.,MRO tells Python which parent class to look in first when a method is called. It is used in multiple inheritance.,Poor,0.2137,0.3559,0.26,21,curated_v3
Python,python_core,Medium,What is the difference between @staticmethod and @classmethod?,"@staticmethod defines a method that receives no implicit first argument — it behaves like a plain function namespaced inside the class. @classmethod receives the class itself (cls) as the first argument, not the instance. Class methods can access and modify class state and are commonly used as alternative constructors. Static methods are used for utility functions logically grouped with the class but not needing class or instance access.","@staticmethod doesn't receive self or cls — it's just a function inside a class. @classmethod receives cls, so it can access class variables and create instances. Class methods are often used as factory methods like Date.from_string('2024-01-01').",Good,0.457,0.5294,0.48,36,curated_v3
Python,python_core,Medium,What is the difference between @staticmethod and @classmethod?,"@staticmethod defines a method that receives no implicit first argument — it behaves like a plain function namespaced inside the class. @classmethod receives the class itself (cls) as the first argument, not the instance. Class methods can access and modify class state and are commonly used as alternative constructors. Static methods are used for utility functions logically grouped with the class but not needing class or instance access.",@staticmethod is a method that doesn't use self or cls. @classmethod gets the class as the first argument. Class methods can create instances of the class.,Average,0.4636,0.3824,0.44,26,curated_v3
Python,python_core,Medium,What is the difference between @staticmethod and @classmethod?,"@staticmethod defines a method that receives no implicit first argument — it behaves like a plain function namespaced inside the class. @classmethod receives the class itself (cls) as the first argument, not the instance. Class methods can access and modify class state and are commonly used as alternative constructors. Static methods are used for utility functions logically grouped with the class but not needing class or instance access.",@classmethod gets the class object and @staticmethod is just a regular function inside the class.,Poor,0.359,0.2206,0.32,15,curated_v3
Python,python_core,Easy,How does Python handle exceptions? Explain try/except/else/finally.,"Python uses try/except to catch exceptions. Code in the try block is executed; if an exception occurs Python searches except clauses for a matching exception type and runs the first match. The else clause runs if no exception occurred. The finally clause always runs regardless of exceptions, making it suitable for cleanup. Multiple except clauses can handle different exception types; a bare except catches all exceptions.","try wraps code that might raise an exception. except catches specific exception types. else runs when no exception is raised. finally always runs and is used for cleanup like closing files. You can catch multiple exceptions with a tuple: except (ValueError, TypeError).",Good,0.4575,0.6364,0.51,42,curated_v3
Python,python_core,Easy,How does Python handle exceptions? Explain try/except/else/finally.,"Python uses try/except to catch exceptions. Code in the try block is executed; if an exception occurs Python searches except clauses for a matching exception type and runs the first match. The else clause runs if no exception occurred. The finally clause always runs regardless of exceptions, making it suitable for cleanup. Multiple except clauses can handle different exception types; a bare except catches all exceptions.",try/except catches errors in Python. You write the risky code in try and handle the error in except. finally always runs at the end. else runs if no error happened.,Average,0.2614,0.4545,0.32,30,curated_v3
Python,python_core,Easy,How does Python handle exceptions? Explain try/except/else/finally.,"Python uses try/except to catch exceptions. Code in the try block is executed; if an exception occurs Python searches except clauses for a matching exception type and runs the first match. The else clause runs if no exception occurred. The finally clause always runs regardless of exceptions, making it suitable for cleanup. Multiple except clauses can handle different exception types; a bare except catches all exceptions.",You put code in try and if an error happens it goes to except. finally always runs.,Poor,0.1967,0.2576,0.21,17,curated_v3
Python,python_core,Medium,What are Python's built-in data structures and their time complexities?,"Python's main built-in structures are list (dynamic array), dict (hash map), set (hash set), and tuple (immutable array). List append and index access are O(1) amortised; insertion/deletion at arbitrary positions is O(n). Dict and set lookup, insertion, and deletion are O(1) average. Tuple access is O(1). deque from collections offers O(1) append and popleft, unlike list's O(n) popleft.","list: O(1) append, O(n) insert at index. dict/set: O(1) average lookup and insert due to hashing. tuple: O(1) access, immutable. For queues, collections.deque is O(1) at both ends. Sorting is O(n log n) Timsort for all sequence types.",Good,0.3327,0.6552,0.43,38,curated_v3
Python,python_core,Medium,What are Python's built-in data structures and their time complexities?,"Python's main built-in structures are list (dynamic array), dict (hash map), set (hash set), and tuple (immutable array). List append and index access are O(1) amortised; insertion/deletion at arbitrary positions is O(n). Dict and set lookup, insertion, and deletion are O(1) average. Tuple access is O(1). deque from collections offers O(1) append and popleft, unlike list's O(n) popleft.",Lists are arrays so accessing by index is O(1) but insertion is O(n). Dicts and sets use hashing so lookup is O(1). Tuples are like lists but immutable.,Average,0.0822,0.4828,0.2,28,curated_v3
Python,python_core,Medium,What are Python's built-in data structures and their time complexities?,"Python's main built-in structures are list (dynamic array), dict (hash map), set (hash set), and tuple (immutable array). List append and index access are O(1) amortised; insertion/deletion at arbitrary positions is O(n). Dict and set lookup, insertion, and deletion are O(1) average. Tuple access is O(1). deque from collections offers O(1) append and popleft, unlike list's O(n) popleft.",Lists are slow for insert and delete. Dicts are fast for lookup. Sets don't allow duplicates.,Poor,0.0186,0.2759,0.1,16,curated_v3
Python,python_core,Easy,What is duck typing in Python?,"Duck typing is a programming style where an object's suitability is determined by the presence of certain methods or attributes rather than the object's type. The name comes from 'if it walks like a duck and quacks like a duck, it's a duck.' In Python this means functions don't check types explicitly; they simply call the needed methods and rely on the object having them. This enables polymorphism without inheritance.","Duck typing means Python doesn't check an object's class before using it — it just tries to use the required methods. If the object has the method, it works. This is how Python achieves polymorphism: a function that calls .read() on its argument works with any object that implements .read(), whether it's a file, BytesIO, or a custom class.",Good,0.2704,0.8429,0.44,59,curated_v3
Python,python_core,Easy,What is duck typing in Python?,"Duck typing is a programming style where an object's suitability is determined by the presence of certain methods or attributes rather than the object's type. The name comes from 'if it walks like a duck and quacks like a duck, it's a duck.' In Python this means functions don't check types explicitly; they simply call the needed methods and rely on the object having them. This enables polymorphism without inheritance.",Duck typing means Python doesn't care about the type of an object as long as it has the right methods. If it behaves like a list you can use it like a list.,Average,0.3418,0.4714,0.38,33,curated_v3
Python,python_core,Easy,What is duck typing in Python?,"Duck typing is a programming style where an object's suitability is determined by the presence of certain methods or attributes rather than the object's type. The name comes from 'if it walks like a duck and quacks like a duck, it's a duck.' In Python this means functions don't check types explicitly; they simply call the needed methods and rely on the object having them. This enables polymorphism without inheritance.",Duck typing means you don't need to declare types. Python just calls methods and if they exist it works.,Poor,0.2639,0.2714,0.27,19,curated_v3
Python,python_core,Medium,Explain how Python imports work.,"When you import a module Python first checks sys.modules as a cache. If not found it searches sys.path for a matching file or package. The module file is compiled to bytecode (cached in __pycache__) and executed, populating the module's namespace. Relative imports use dots to navigate the package hierarchy. Circular imports can cause issues because the module is partially initialised when the cycle occurs.","import searches sys.modules first, then sys.path directories. Found modules are executed and cached. Bytecode is cached in .pyc files. from module import name binds a specific name in the current namespace. Circular imports work if you import at function level or restructure to avoid the cycle.",Good,0.3654,0.7188,0.47,46,curated_v3
Python,python_core,Medium,Explain how Python imports work.,"When you import a module Python first checks sys.modules as a cache. If not found it searches sys.path for a matching file or package. The module file is compiled to bytecode (cached in __pycache__) and executed, populating the module's namespace. Relative imports use dots to navigate the package hierarchy. Circular imports can cause issues because the module is partially initialised when the cycle occurs.","Python looks through sys.path to find the module file, executes it, and caches it in sys.modules. Subsequent imports return the cached module.",Average,0.4431,0.3438,0.41,22,curated_v3
Python,python_core,Medium,Explain how Python imports work.,"When you import a module Python first checks sys.modules as a cache. If not found it searches sys.path for a matching file or package. The module file is compiled to bytecode (cached in __pycache__) and executed, populating the module's namespace. Relative imports use dots to navigate the package hierarchy. Circular imports can cause issues because the module is partially initialised when the cycle occurs.",Python finds the module file by looking through folders and then runs it. It saves the result so it doesn't have to import it again.,Poor,0.1943,0.3906,0.25,25,curated_v3
Python,python_core,Easy,What is the difference between range and xrange in Python?,"In Python 3 range() returns a lazy range object that generates numbers on demand — it is the equivalent of Python 2's xrange(). Python 2's range() returned a full list. xrange() no longer exists in Python 3. The Python 3 range object supports len(), indexing, and containment tests efficiently without materialising all values.","In Python 3 there is only range(), which is lazy like Python 2's xrange(). range() doesn't build a list; it computes values on demand. Python 2 had both: range() (returns list) and xrange() (lazy). In Python 3 code just use range().",Good,0.6592,0.7736,0.69,41,curated_v3
Python,python_core,Easy,What is the difference between range and xrange in Python?,"In Python 3 range() returns a lazy range object that generates numbers on demand — it is the equivalent of Python 2's xrange(). Python 2's range() returned a full list. xrange() no longer exists in Python 3. The Python 3 range object supports len(), indexing, and containment tests efficiently without materialising all values.",In Python 3 range is lazy and doesn't create a list. In Python 2 range returned a list and xrange was the lazy version. Python 3 removed xrange.,Average,0.5943,0.5283,0.57,28,curated_v3
Python,python_core,Easy,What is the difference between range and xrange in Python?,"In Python 3 range() returns a lazy range object that generates numbers on demand — it is the equivalent of Python 2's xrange(). Python 2's range() returned a full list. xrange() no longer exists in Python 3. The Python 3 range object supports len(), indexing, and containment tests efficiently without materialising all values.",xrange was used in Python 2 to save memory. In Python 3 you just use range which works like xrange did.,Poor,0.3843,0.3962,0.39,21,curated_v3
Python,python_core,Hard,How do you handle concurrency in Python?,"Python offers three concurrency models. Threading uses OS threads sharing memory; the GIL limits true CPU parallelism but it works well for I/O-bound tasks. Multiprocessing uses separate processes with separate memory spaces, bypassing the GIL for CPU-bound work. Asyncio uses cooperative multitasking with an event loop and coroutines (async/await) for high-concurrency I/O without thread overhead. The right choice depends on whether the bottleneck is I/O or CPU.","For I/O-bound work use threading or asyncio. For CPU-bound work use multiprocessing. asyncio is event-loop-based with coroutines, great for high-concurrency network code. threading is simpler but the GIL limits CPU parallelism. multiprocessing spawns separate Python processes and is the only way to use multiple CPU cores from Python.",Good,0.4018,0.7164,0.5,48,curated_v3
Python,python_core,Hard,How do you handle concurrency in Python?,"Python offers three concurrency models. Threading uses OS threads sharing memory; the GIL limits true CPU parallelism but it works well for I/O-bound tasks. Multiprocessing uses separate processes with separate memory spaces, bypassing the GIL for CPU-bound work. Asyncio uses cooperative multitasking with an event loop and coroutines (async/await) for high-concurrency I/O without thread overhead. The right choice depends on whether the bottleneck is I/O or CPU.","Python has threads for I/O-bound tasks, multiprocessing for CPU tasks, and asyncio for async programming. The GIL affects threads for CPU work so you need multiprocessing for parallel computation.",Average,0.3305,0.4328,0.36,29,curated_v3
Python,python_core,Hard,How do you handle concurrency in Python?,"Python offers three concurrency models. Threading uses OS threads sharing memory; the GIL limits true CPU parallelism but it works well for I/O-bound tasks. Multiprocessing uses separate processes with separate memory spaces, bypassing the GIL for CPU-bound work. Asyncio uses cooperative multitasking with an event loop and coroutines (async/await) for high-concurrency I/O without thread overhead. The right choice depends on whether the bottleneck is I/O or CPU.",You can use threading or multiprocessing in Python. asyncio is also used for async code. Threads are limited by the GIL.,Poor,0.1828,0.3134,0.22,21,curated_v3
Python,python_core,Medium,What are Python's dunder (magic) methods?,"Dunder methods are special methods with double underscores on both sides (e.g., __init__, __str__, __len__) that Python calls implicitly for specific operations. __init__ is called on object construction, __str__ for str() conversion, __repr__ for the developer representation, __len__ for len(), __getitem__ for indexing, __iter__ and __next__ for iteration, and __eq__ for equality. Implementing these methods integrates custom classes with Python's built-in protocols.","Dunder methods let custom classes hook into Python's syntax and protocols. __init__ is the constructor. __str__ / __repr__ control string conversion. __add__, __mul__ etc. enable operator overloading. __getitem__ enables indexing. __enter__ / __exit__ enable context manager protocol. __iter__ / __next__ enable iteration.",Good,0.2797,0.6774,0.4,42,curated_v3
Python,python_core,Medium,What are Python's dunder (magic) methods?,"Dunder methods are special methods with double underscores on both sides (e.g., __init__, __str__, __len__) that Python calls implicitly for specific operations. __init__ is called on object construction, __str__ for str() conversion, __repr__ for the developer representation, __len__ for len(), __getitem__ for indexing, __iter__ and __next__ for iteration, and __eq__ for equality. Implementing these methods integrates custom classes with Python's built-in protocols.","Dunder methods are special methods Python calls automatically. __init__ is the constructor, __str__ controls how the object prints, __len__ makes len() work on your class.",Average,0.4067,0.4032,0.41,25,curated_v3
